DATE,USALOLITONOSTSAM
1960-01-01,100.692871805047
1960-02-01,100.419692249233
1960-03-01,100.117150747589
1960-04-01,99.8312936986086
1960-05-01,99.581588888711
1960-06-01,99.3635480598288
1960-07-01,99.1586247322658
1960-08-01,98.9646108292743
1960-09-01,98.7728957904039
1960-10-01,98.608659729628
1960-11-01,98.5012683347311
1960-12-01,98.4822977330266
1961-01-01,98.5687582819299
1961-02-01,98.7786763406488
1961-03-01,99.0997543874818
1961-04-01,99.4855057557596
1961-05-01,99.8788323994965
1961-06-01,100.244565015747
1961-07-01,100.559146841586
1961-08-01,100.815862366916
1961-09-01,101.002768368258
1961-10-01,101.118005629457
1961-11-01,101.166934022717
1961-12-01,101.137940710419
1962-01-01,101.024188187882
1962-02-01,100.842166692745
1962-03-01,100.594228514292
1962-04-01,100.303513189928
1962-05-01,100.009901526979
1962-06-01,99.7541769658204
1962-07-01,99.5777500831464
1962-08-01,99.4885058374511
1962-09-01,99.4845840209622
1962-10-01,99.5535793201421
1962-11-01,99.6792514272089
1962-12-01,99.8308061342971
1963-01-01,99.9806975211762
1963-02-01,100.110809560781
1963-03-01,100.213605367461
1963-04-01,100.285582664585
1963-05-01,100.312875824159
1963-06-01,100.295316512555
1963-07-01,100.252266813226
1963-08-01,100.207793339151
1963-09-01,100.18357876414
1963-10-01,100.175915051702
1963-11-01,100.180360459059
1963-12-01,100.208993938306
1964-01-01,100.271911030567
1964-02-01,100.34848338268
1964-03-01,100.432837327205
1964-04-01,100.516202770958
1964-05-01,100.592567748253
1964-06-01,100.661268005302
1964-07-01,100.718545735337
1964-08-01,100.756788449721
1964-09-01,100.794822652133
1964-10-01,100.837860742933
1964-11-01,100.900677348978
1964-12-01,100.975670741977
1965-01-01,101.041950505197
1965-02-01,101.081221758341
1965-03-01,101.082457517199
1965-04-01,101.04258247004
1965-05-01,100.97816057261
1965-06-01,100.918471082411
1965-07-01,100.897110340095
1965-08-01,100.931713119182
1965-09-01,101.02831794932
1965-10-01,101.176415318544
1965-11-01,101.351908629442
1965-12-01,101.519991760892
1966-01-01,101.63893893949
1966-02-01,101.667066149557
1966-03-01,101.58160873999
1966-04-01,101.384965543431
1966-05-01,101.099456351379
1966-06-01,100.780033154066
1966-07-01,100.453304353274
1966-08-01,100.136879213222
1966-09-01,99.8349492226298
1966-10-01,99.542664359094
1966-11-01,99.2717646363335
1966-12-01,99.040683680202
1967-01-01,98.8717475396672
1967-02-01,98.7809999880349
1967-03-01,98.7959251742277
1967-04-01,98.919888075884
1967-05-01,99.1408123477368
1967-06-01,99.4167084304057
1967-07-01,99.7122539682423
1967-08-01,99.9970318391567
1967-09-01,100.242182560575
1967-10-01,100.436998931248
1967-11-01,100.577571543662
1967-12-01,100.665226412899
1968-01-01,100.696936311296
1968-02-01,100.699980721476
1968-03-01,100.692702851425
1968-04-01,100.685768816747
1968-05-01,100.686251196645
1968-06-01,100.70700061051
1968-07-01,100.760431864463
1968-08-01,100.857052448766
1968-09-01,100.996764223627
1968-10-01,101.135997133565
1968-11-01,101.223368804956
1968-12-01,101.240632082455
1969-01-01,101.19198671441
1969-02-01,101.084908097012
1969-03-01,100.928134477567
1969-04-01,100.722880107789
1969-05-01,100.474128577045
1969-06-01,100.222411412025
1969-07-01,99.9996496855078
1969-08-01,99.8141696050697
1969-09-01,99.6453734126693
1969-10-01,99.4621552490721
1969-11-01,99.2470251625309
1969-12-01,98.996161469981
1970-01-01,98.7170835850374
1970-02-01,98.4405754524212
1970-03-01,98.1936727651812
1970-04-01,97.999862636165
1970-05-01,97.8851905562414
1970-06-01,97.8420903827254
1970-07-01,97.8444580579613
1970-08-01,97.8844129122839
1970-09-01,97.9780804017316
1970-10-01,98.1543925147191
1970-11-01,98.4472912385505
1970-12-01,98.8491447374181
1971-01-01,99.286554446754
1971-02-01,99.6769433270717
1971-03-01,99.9683921644579
1971-04-01,100.157796049448
1971-05-01,100.254664190147
1971-06-01,100.287950181876
1971-07-01,100.294716913744
1971-08-01,100.31479972608
1971-09-01,100.3895861178
1971-10-01,100.549424803333
1971-11-01,100.806349168282
1971-12-01,101.143270875012
1972-01-01,101.496033128535
1972-02-01,101.810820365767
1972-03-01,102.056905838997
1972-04-01,102.237923741994
1972-05-01,102.376585916145
1972-06-01,102.499069279149
1972-07-01,102.637896627783
1972-08-01,102.814180471776
1972-09-01,103.008964118162
1972-10-01,103.190912935854
1972-11-01,103.335240197271
1972-12-01,103.40976118638
1973-01-01,103.392476184555
1973-02-01,103.273616393647
1973-03-01,103.049891402073
1973-04-01,102.736951263727
1973-05-01,102.369783865037
1973-06-01,101.993736462049
1973-07-01,101.648822324651
1973-08-01,101.36527587261
1973-09-01,101.147059010496
1973-10-01,100.97368780948
1973-11-01,100.801553303729
1973-12-01,100.614092424039
1974-01-01,100.419850973757
1974-02-01,100.195791170994
1974-03-01,99.9237760004234
1974-04-01,99.5892094352211
1974-05-01,99.1992907974648
1974-06-01,98.7662992381229
1974-07-01,98.3028810924086
1974-08-01,97.8123406719264
1974-09-01,97.3046180414381
1974-10-01,96.8278261953658
1974-11-01,96.4248627495351
1974-12-01,96.1557176730333
1975-01-01,96.0742934437665
1975-02-01,96.1713016205936
1975-03-01,96.4181677822698
1975-04-01,96.7841761540107
1975-05-01,97.212248060015
1975-06-01,97.6619832332551
1975-07-01,98.1062712021659
1975-08-01,98.5228105220974
1975-09-01,98.9095588822734
1975-10-01,99.2767505772474
1975-11-01,99.6357712692283
1975-12-01,99.9932262217305
1976-01-01,100.33470444869
